frame,emotion,face_x,face_y,face_width,face_height
0,neutral,148,157,44,44
30,neutral,124,41,62,62
30,neutral,157,447,44,44
60,neutral,290,172,32,32
60,neutral,133,90,56,56
90,neutral,318,166,29,29
90,neutral,128,81,56,56
120,neutral,93,59,60,60
120,neutral,111,334,193,193
150,sad,125,55,68,68
180,sad,124,86,59,59
330,neutral,81,321,61,61
330,sad,113,436,57,57
390,neutral,133,214,40,40
390,neutral,100,260,96,96
420,neutral,156,189,45,45
420,sad,188,364,78,78
450,neutral,124,202,44,44
480,sad,107,187,46,46
480,neutral,111,240,57,57
540,neutral,142,207,45,45
570,sad,183,206,51,51
570,neutral,183,268,54,54
